Row (Opcode),??????,RegDst,RegWrite,ALUSrc,MemRead,MemWrite,Branch,Jump,MemToReg,ALUOp1 (Bit 2),ALUOp2 (Bit 1),ALUOp3 (Bit 0)
0 (0000),li,0,1,1,0,0,0,0,0,0,1,1
1 (0001),add,0,1,0,0,0,0,0,0,0,0,0
2 (0010),and,0,1,0,0,0,0,0,0,0,1,0
3 (0011),or,0,1,0,0,0,0,0,0,0,1,1
4 (0100),load,0,1,1,1,0,0,0,1,0,0,0
5 (0101),store,X,0,1,0,1,0,0,X,0,0,0
6 (0110),move,0,1,0,0,0,0,0,0,0,1,1
7 (0111),addi,0,1,1,0,0,0,0,0,0,0,0
8 (1000),andi,0,1,1,0,0,0,0,0,0,1,0
9 (1001),ori,0,1,1,0,0,0,0,0,0,1,1
10 (1010),ble,X,0,0,0,0,1,0,X,0,0,1
11 (1011),bne,X,0,0,0,0,1,0,X,0,0,1
12 (1100),jump,X,0,X,0,0,0,1,X,X,X,X
13 (1101),call,1,1,X,0,0,0,1,1,X,X,X
14 (1110),rtn,X,0,X,0,0,0,1,X,X,X,X
15 (1111),halt,X,0,X,0,0,0,0,X,X,X,X
